SMILES,Name,pIC50
COc1ccccc1[C@H]1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1N,CHEMBL237567,5.698970004336019
N#Cc1cccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@H]3C#N)c12,CHEMBL3233845,4.0
CC(C)(C)C(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2,CHEMBL5429638,5.0
CC(C)Cn1c(CN)c(-c2ccccc2)c2cc(O)ccc2c1=O.Cl,CHEMBL1812906,6.102372908709558
CC#CCn1c(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)nc2c1c(=O)n(CC(=O)c1ccccc1[N+](=O)[O-])c(=O)n2C,CHEMBL3680637,8.522878745280337
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)OC)c2)c1=O,CHEMBL4845890,8.958607314841775
N#Cc1ccc2[nH]c(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,CHEMBL2058762,9.4089353929735
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,CHEMBL487630,6.211124884224583
Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O,CHEMBL8916,3.4001169279263124
N[C@@H](CCNCc1cccc2ccccc12)C(=O)N1CCCCC1,CHEMBL97884,3.521433504406157
COC(=O)c1cn([C@@H]2CN[C@H](C(=O)N3CCC(F)(F)C3)C2)nn1,CHEMBL4241199,6.142667503568731
Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(OCCC(=O)O)cc23)cc1.Cl.Cl,CHEMBL4075351,7.537602002101044
N[C@@H](CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)C(=O)N1CCC(C(F)(F)F)C1,CHEMBL3798691,4.0
O=C([C@@H]1C[C@@H](NCc2ccccc2)CN1)N1Cc2ccccc2C1,CHEMBL452521,3.0
N[C@H]1C[C@@H](N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)[C@@H](C(F)(F)F)O[C@@H]1c1cc(F)ccc1F,CHEMBL4636223,7.931814138253838
CC#CCn1c(N2CCC[C@H](N)C2)cc(=O)n(Cc2nc(C)c3cc(C)ccc3n2)c1=O,CHEMBL4647761,8.23807216157947
N[C@@H](CC(=O)N1CCCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,CHEMBL513425,7.154901959985743
N#C[C@@H]1C[C@H](F)CN1C(=O)CNC1CC1,CHEMBL470330,7.481486060122112
CC#CCn1c(N2CCC[C@@H](N)C2)nc2ccn(Cc3ccc4ccc(Cl)cc4n3)c2c1=O,CHEMBL2347035,7.943095148663527
CCCC[C@@H]1CN(c2ccccc2)CC[C@H]1N,CHEMBL234610,4.447331783887806
CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nccn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL378673,7.381102503363039
N#Cc1ccccc1C[C@@H](N)CC(=O)N1CCSC1,CHEMBL185121,5.598771832501887
N#Cc1ccc2ccc3c(c2c1)C[C@@H](N)[C@H](c1cc(F)c(F)cc1F)O3,CHEMBL3942715,6.687822643560221
N[C@H]1C[C@@H](N2Cc3c[nH]nc3C2)CSC1c1cc(F)cc(F)c1F,CHEMBL3644452,8.468521082957745
O=c1c([N+](=O)[O-])c(NCCCCO)nc2scnn12,CHEMBL4567960,4.0
N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)CNC(=O)c1ccccc1,CHEMBL2022525,4.0
O=C([C@@H]1C[C@H](N2CCc3ccccc32)CN1)N1CCSC1,CHEMBL389244,7.958607314841775
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cc(C)ccn3)CN1CC2,CHEMBL590557,7.958607314841775
CC[C@H](C)[C@H](N)C(=O)N1Cc2ccc(F)cc2C1,CHEMBL466590,4.096367483915762
N[C@@H](CC(=O)NC(c1ccc(F)cc1)c1ccc(F)cc1)C(=O)N1Cc2ccccc2C1.O=C(O)C(F)(F)F,CHEMBL1814758,4.0
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCCC1,CHEMBL452029,3.5436339668709573
C/C=C/Cn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,CHEMBL3893759,9.0
CC#CCn1c(N2CCNCC2)nc2c1c(=O)n(Cc1cccc(C#N)c1)c(=O)n2C,CHEMBL3616905,6.468521082957745
N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](CO)c1ccc(-c2ccc(F)cc2)cc1.O=C(O)C(F)(F)F,CHEMBL365567,6.4089353929735005
N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccncc1,CHEMBL3233554,4.0
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(C(=O)OC)cc2)c1=O,CHEMBL4862579,8.036212172654444
C[C@@H]1N[C@H](C(=O)NCC#N)C[C@@H]1C(=O)N(C)C,CHEMBL407293,4.886056647693163
O=C([C@@H]1CN[C@H](C(=O)N2CC[C@H](F)C2)C1)N1Cc2ccccc2C1,CHEMBL210590,6.610833915635467
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccoc2)c1=O,CHEMBL1650418,7.920818753952375
COc1ccccc1-c1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650417,6.00436480540245
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(C#N)c3ccccc13)c(=O)n2C,CHEMBL3981831,8.522878745280337
N#Cc1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1,CHEMBL1683134,7.113509274827518
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3c(ccc4ccccc43)n2)c1=O,CHEMBL2425887,7.504455662453552
Cn1c(=O)c2c(nc(N3CCNCC3)n2Cc2ccccc2Cl)n(C)c1=O,CHEMBL1235760,5.698970004336019
