Name,CID,SMILES,predicted_pIC50,predicted_IC50_nM
Pinocarvone,121719,CC1(C2CC1C(=C)C(=O)C2)C,5.498882084868282,3170.428147952141
"(1R,5R)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-one",10012081,CC1(C2CC1C(=C)C(=O)C2)C,5.498882084868282,3170.428147952141
cis-beta-Santalene,6430549,CC(=CCCC1(C2CCC(C2)C1=C)C)C,5.491257906800133,3226.5774420493153
Epi-beta-Santalene,91746538,CC(=CCCC1(C2CCC(C2)C1=C)C)C,5.491257906800133,3226.5774420493153
"Norbornane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-",10534,CC(=CCCC1(C2CCC(C2)C1=C)C)C,5.491257906800133,3226.5774420493153
b-Sitostenone,579897,CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C,5.484852956282271,3274.515448762084
Stigmast-4-en-3-one,5484202,CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C,5.484852956282271,3274.515448762084
,102230697,CC1=CC(C2(CC1)C(O2)(C)C)C3=C(C(=CC(=C3)C=CC(=CC(=O)C=CC4=CC(=C(C=C4)O)OC)O)OC)O,5.473953206228186,3357.7379079220455
d-alpha-Santalol,5368797,CC(=CCCC1(C2CC3C1(C3C2)C)C)CO,5.462602114435274,3446.6555680583288
alpha-Santal-10-en-12-ol,5281531,CC(=CCCC1(C2CC3C1(C3C2)C)C)CO,5.462602114435274,3446.6555680583288
[4-(4-Hydroxy-3-methoxyphenyl)-2-oxobut-3-enyl] 3-(4-hydroxyphenyl)prop-2-enoate,85050216,COC1=C(C=CC(=C1)C=CC(=O)COC(=O)C=CC2=CC=C(C=C2)O)O,5.453411158526972,3520.3742971435363
[(E)-4-(4-hydroxyphenyl)-2-oxobut-3-enyl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,16743817,COC1=C(C=CC(=C1)C=CC(=O)OCC(=O)C=CC2=CC=C(C=C2)O)O,5.453411158526972,3520.3742971435363
[(E)-4-(4-hydroxy-3-methoxyphenyl)-2-oxobut-3-enyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate,9841508,COC1=C(C=CC(=C1)C=CC(=O)COC(=O)C=CC2=CC=C(C=C2)O)O,5.453411158526972,3520.3742971435363
[4-(4-Hydroxyphenyl)-2-oxobut-3-enyl] 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,73318874,COC1=C(C=CC(=C1)C=CC(=O)OCC(=O)C=CC2=CC=C(C=C2)O)O,5.453411158526972,3520.3742971435363
"(1S,7R)-1-methyl-7-(3-oxobutyl)-4-propan-2-ylidenebicyclo[4.1.0]heptan-3-one",42608155,CC(=C1CC2C(C2(CC1=O)C)CCC(=O)C)C,5.445604637433102,3584.2258075673703
Curcumenone,153845,CC(=C1CC2C(C2(CC1=O)C)CCC(=O)C)C,5.445604637433102,3584.2258075673703
"Gamma-elemene, (+)-",6432312,CC(=C1CCC(C(C1)C(=C)C)(C)C=C)C,5.4440236033574445,3597.297837643234
Elixene,94254,CC(=C1CCC(C(C1)C(=C)C)(C)C=C)C,5.4440236033574445,3597.297837643234
Cyqualon,1550234,COC1=C(C=CC(=C1)C=C2CCCC(=CC3=CC(=C(C=C3)O)OC)C2=O)O,5.442274827550255,3611.812298323497
Epiprocurcumenol,10263440,CC1=CC(=O)C(=C(C)C)CC2C1CCC2(C)O,5.437372096456709,3652.81690084292
"(3R,3aR,8aS)-3-hydroxy-3,8-dimethyl-5-propan-2-ylidene-2,3a,4,8a-tetrahydro-1H-azulen-6-one",97289691,CC1=CC(=O)C(=C(C)C)CC2C1CCC2(C)O,5.437372096456709,3652.81690084292
