id,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,refchemids,refsids,pmcids,pclids,References,Compound_CID,Taxonomy_ID
,LOTUS - the natural products occurrence database,Palmitic Acid,Q209727,Palmitic Acid,https://www.wikidata.org/wiki/Q209727,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1016/S0021-9673(96)00802-3,https://doi.org/10.1016/S0021-9673(96)00802-3,,10.1016/S0021-9673(96)00802-3,6666|6666,481108005|481108005,,694647459,"Richmond R, Pombo-Villar E. Gas chromatography-mass spectrometry coupled with pseudo-Sadtler retention indices, for the identification of components in the essential oil of Curcuma longa L. Journal of Chromatography A. 1997 Jan;760(2):303–8. doi: 10.1016/s0021-9673(96)00802-3.",985,136217
,Natural Product Activity and Species Source (NPASS),Palmitic Acid,NPC216630,Palmitic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC216630,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6666|6666,481108005|481108005,,,,985,136217
,Natural Product Activity and Species Source (NPASS),Palmitic Acid,NPC216630,Palmitic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC216630,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6666|6666,481108005|481108005,,,,985,136217
,Natural Product Activity and Species Source (NPASS),Phenol,NPC100980,Phenol,https://bidd.group/NPASS/compound.php?compoundID=NPC100980,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6668|6668,481108007|481108007,,,,996,136217
,Natural Product Activity and Species Source (NPASS),Pyridoxine,NPC269919,Pyridoxine,https://bidd.group/NPASS/compound.php?compoundID=NPC269919,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6185,481107525,,,,1054,136217
,Natural Product Activity and Species Source (NPASS),Pyridoxine,NPC269919,Pyridoxine,https://bidd.group/NPASS/compound.php?compoundID=NPC269919,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6185,481107525,,,,1054,136217
,LOTUS - the natural products occurrence database,Succinic Acid,Q213050,Succinic Acid,https://www.wikidata.org/wiki/Q213050,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/BMC.1207,https://doi.org/10.1002/BMC.1207,,10.1002/BMC.1207,6501|6501|6501,481107841|481107841|481107841,,4063217,"Herebian D, Choi J, Abd El-Aty AM, Shim J, Spiteller M. Metabolite analysis in <i>Curcuma domestica</i> using various GC-MS and LC-MS separation and detection techniques. Biomedical Chromatography. 2009 Apr 08;23(9):951–65. doi: 10.1002/bmc.1207.",1110,136217
,Natural Product Activity and Species Source (NPASS),Hex-2-ulofuranosyl hexopyranoside,NPC269980,NPC269980,https://bidd.group/NPASS/compound.php?compoundID=NPC269980,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,1115,136217
,Natural Product Activity and Species Source (NPASS),Thiamine,NPC150950,Thiamine,https://bidd.group/NPASS/compound.php?compoundID=NPC150950,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6301,481107641,,,,1130,136217
,Natural Product Activity and Species Source (NPASS),Thiamine,NPC150950,Thiamine,https://bidd.group/NPASS/compound.php?compoundID=NPC150950,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6301,481107641,,,,1130,136217
,Natural Product Activity and Species Source (NPASS),Toluene,NPC277704,Toluene,https://bidd.group/NPASS/compound.php?compoundID=NPC277704,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6695,481108034,,,,1140,136217
