CID,Name
9796015,[6]-Dehydrogingerdione
9796432,Labdadienedial
9796708,"1,7-Bis(4-Hydroxyphenyl)-1-Heptene-3,5-Dione"
9796792,Tetrahydrobisdemethoxycurcumin
9815837,(+)-I2-Turmerone
9841508,[(E)-4-(4-hydroxy-3-methoxyphenyl)-2-oxobut-3-enyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate
9859094,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-"
9952605,Dimethoxycurcumin
9971144,Coronarin E
10012081,"(1R,5R)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-one"
10104370,Beta-Bisabolene
10250249,5'-Methoxycurcumin
10263440,Epiprocurcumenol
10396829,CID 10396829
10421034,(6R)-3-methyl-6-((2S)-6-methylhept-5-en-2-yl)cyclohex-2-en-1-one
10421549,Dehydrocurdione
10429233,Dihydrocurcumin
10441698,1-deuterio-2-phenyl(113C)ethanone
10447050,"1,7-Bis(4-Hydroxyphenyl)-1,4,6-Heptatrien-3-One"
10469828,"(1E,4E)-1-(4-Hydroxy-3-methoxyphenyl)-5-(4-hydroxyphenyl)-1,4-pentadien-3-one"
10614892,"1,7-Bis(4-hydroxyphenyl)-3-hydroxy-1,3-heptadien-5-one"
10704181,(-)-Humulene epoxide II
10887971,(+)-Sabinene
10899740,Alloaromadendrene
10904292,"1,7-Bis(4-Hydroxy-3-Methoxyphenyl)-1,4,6-Heptatrien-3-One"
10955018,beta-Elemenone
10955433,"Turmeronol B, (A+-)-"
11051711,(-)-Sabinene
11062333,phenylmethan(18O)ol
11094753,(S)-(+)-2-Nonanol
11106485,(+)-beta-Cedrene
11117927,Turmeronol A
11127403,Alpha-Zingiberene
11128245,"(3R,3aS,6R,8aS)-1,2,3,4,5,8a-Hexahydro-3,8-dimethyl-5-(1-methylethylidene)-6H-3a,6-epoxyazulen-6-ol"
11156616,(S)-(+)-Xanthorrhizol
11241433,"(alphaR,gammaS)-gamma,4-Dimethyl-alpha-(2-methyl-1-propen-1-yl)benzenepropanol"
11241545,"(3R,6E)-Nerolidol"
11252659,Npc283274
11262180,Methylhydroxycarbene
11276006,"(6R)-2,2,6-trimethyl-6-(4-methylphenyl)oxane"
11286536,Nonan-2R-ol
11356422,(6R)-2-methyl-6-(4-methylphenyl)hept-2-en-4-ol
11637239,"(1S,10S,E)-6,10-dimethyl-3-(propan-2-ylidene)-11-oxabicyclo[8.1.0]undec-6-en-4-one"
11736067,Ctk0C7757
11744854,cis-Sabinene hydrate
11770338,(6S)-2-Methyl-6-(2-hydroxy-4-methylphenyl)-2-hepten-4-one
11820691,(+)-alpha-Turmerone
11953814,L-Octanoylcarnitine
12223113,L-alpha-Pinene
